team_name,team,mascot,league,resource,resource_path
Carthage Red Men,Carthage,Red Men,ncaaf,team://ncaa_football/carthage_red_men,/ncaa_football/carthage_red_men
Case Reserve,Case Reserve,,ncaaf,team://ncaa_football/case_reserve,/ncaa_football/case_reserve
Catawba Indians,Catawba,Indians,ncaaf,team://ncaa_football/catawba_indians,/ncaa_football/catawba_indians
Catholic Cardinals,Catholic,Cardinals,ncaaf,team://ncaa_football/catholic_cardinals,/ncaa_football/catholic_cardinals
Central Arkansas Bears,Central Arkansas ,Bears,ncaaf,team://ncaa_football/central_arkansas_bears,/ncaa_football/central_arkansas_bears
Central College Dutch,Central College ,Dutch,ncaaf,team://ncaa_football/central_college_dutch,/ncaa_football/central_college_dutch
Central CT Blue Devils,Central CT,Blue Devils,ncaaf,team://ncaa_football/central_ct_blue_devils,/ncaa_football/central_ct_blue_devils
Central Methodist Eagles,Central Methodist,Eagles,ncaaf,team://ncaa_football/central_methodist_eagles,/ncaa_football/central_methodist_eagles
Central Michigan Chippewas,Central Michigan,Chippewas,ncaaf,team://ncaa_football/central_michigan_chippewas,/ncaa_football/central_michigan_chippewas
Central MO St Mules,Centrall MO St,Mules,ncaaf,team://ncaa_football/central_mo_st_mules,/ncaa_football/central_mo_st_mules
Central Oklahoma Bronchos,Centrall Oklahoma,Bronchos,ncaaf,team://ncaa_football/central_oklahoma_bronchos,/ncaa_football/central_oklahoma_bronchos
Central St OH Marauders,Central St OH,Marauders,ncaaf,team://ncaa_football/central_st_oh_marauders,/ncaa_football/central_st_oh_marauders
Central Washington Wildcats,Central Washington,Wildcats,ncaaf,team://ncaa_football/central_washington_wildcats,/ncaa_football/central_washington_wildcats
Centre College Praying Colonels,Centre College,Praying Colonels,ncaaf,team://ncaa_football/centre_college_praying_colonels,/ncaa_football/centre_college_praying_colonels
Chadron St Eagles,Chadron St,Eagles,ncaaf,team://ncaa_football/chadron_st_eagles,/ncaa_football/chadron_st_eagles
Chapman Panthers,Chapman,Panthers,ncaaf,team://ncaa_football/chapman_panthers,/ncaa_football/chapman_panthers
Charleston Southern Buccaneers,Charleston Southern,Buccaneers,ncaaf,team://ncaa_football/charleston_southern_buccaneers,/ncaa_football/charleston_southern_buccaneers
Charleston WV Golden Eagles,Charleston WV,Golden Eagles,ncaaf,team://ncaa_football/charleston_wv_golden_eagles,/ncaa_football/charleston_wv_golden_eagles
Chattanooga,Chattanooga,,ncaaf,team://ncaa_football/chattanooga,/ncaa_football/chattanooga
Cheyney Wolves,Cheyney,Wolves,ncaaf,team://ncaa_football/cheyney_wolves,/ncaa_football/cheyney_wolves
Chicago Cougars,Chicago,Cougars,ncaaf,team://ncaa_football/chicago_cougars,/ncaa_football/chicago_cougars
Chicago State Cougars,Chicago State,Cougars,ncaaf,team://ncaa_football/chicago_state_cougars,/ncaa_football/chicago_state_cougars
Chowan Braves,Chowan,Braves,ncaaf,team://ncaa_football/chowan_braves,/ncaa_football/chowan_braves
Christopher Newport,Christopher Newport,,ncaaf,team://ncaa_football/christopher_newport,/ncaa_football/christopher_newport
